	Dataset	Level	SampleID	Reference	Method	Parameters	Precision	Recall	F-measure	Taxon Accuracy Rate	Taxon Detection Rate
0	fuhrman_18Sv4	2	MP_ERR3712072	pr2-ssu	naive-bayes	[7,7]:0.5	1.0	1.0	1.0	1.0	1.0
1	fuhrman_18Sv4	2	MP_ERR3712077	pr2-ssu	naive-bayes	[7,7]:0.5	1.0	1.0	1.0	1.0	1.0
2	fuhrman_18Sv4	3	MP_ERR3712072	pr2-ssu	naive-bayes	[7,7]:0.5	0.5967315097013709	0.5967315097013709	0.5967315097013709	0.8571428571428571	0.8571428571428571
3	fuhrman_18Sv4	3	MP_ERR3712077	pr2-ssu	naive-bayes	[7,7]:0.5	0.5011272185710968	0.5011272185710968	0.5011272185710968	0.8571428571428571	0.8571428571428571
4	fuhrman_18Sv4	4	MP_ERR3712072	pr2-ssu	naive-bayes	[7,7]:0.5	0.5342589457049328	0.5342589457049328	0.5342589457049328	0.6666666666666666	0.75
5	fuhrman_18Sv4	4	MP_ERR3712077	pr2-ssu	naive-bayes	[7,7]:0.5	0.47129350038940276	0.47129350038940276	0.47129350038940276	0.7	0.7777777777777778
6	fuhrman_18Sv4	5	MP_ERR3712072	pr2-ssu	naive-bayes	[7,7]:0.5	0.09871944413089012	0.09871944413089012	0.09871944413089011	0.2727272727272727	0.3333333333333333
7	fuhrman_18Sv4	5	MP_ERR3712077	pr2-ssu	naive-bayes	[7,7]:0.5	0.1141360040443236	0.1141360040443236	0.1141360040443236	0.35714285714285715	0.45454545454545453
8	fuhrman_18Sv4	6	MP_ERR3712072	pr2-ssu	naive-bayes	[7,7]:0.5	0.032484228217380944	0.032484228217380944	0.032484228217380944	0.09090909090909091	0.1111111111111111
9	fuhrman_18Sv4	6	MP_ERR3712077	pr2-ssu	naive-bayes	[7,7]:0.5	0.08937135361871319	0.08937135361871319	0.08937135361871319	0.1875	0.25
10	fuhrman_18Sv4	2	MP_ERR3712072	pr2-ssu	naive-bayes	[10,10]:0.5	1.0	1.0	1.0	1.0	1.0
11	fuhrman_18Sv4	2	MP_ERR3712077	pr2-ssu	naive-bayes	[10,10]:0.5	1.0	1.0	1.0	1.0	1.0
12	fuhrman_18Sv4	3	MP_ERR3712072	pr2-ssu	naive-bayes	[10,10]:0.5	0.5967315097013709	0.5967315097013709	0.5967315097013709	0.8571428571428571	0.8571428571428571
13	fuhrman_18Sv4	3	MP_ERR3712077	pr2-ssu	naive-bayes	[10,10]:0.5	0.5011272185710968	0.5011272185710968	0.5011272185710968	0.8571428571428571	0.8571428571428571
14	fuhrman_18Sv4	4	MP_ERR3712072	pr2-ssu	naive-bayes	[10,10]:0.5	0.5342589457049328	0.5342589457049328	0.5342589457049328	0.6666666666666666	0.75
15	fuhrman_18Sv4	4	MP_ERR3712077	pr2-ssu	naive-bayes	[10,10]:0.5	0.47129350038940276	0.47129350038940276	0.47129350038940276	0.7	0.7777777777777778
16	fuhrman_18Sv4	5	MP_ERR3712072	pr2-ssu	naive-bayes	[10,10]:0.5	0.09871944413089012	0.09871944413089012	0.09871944413089011	0.2727272727272727	0.3333333333333333
17	fuhrman_18Sv4	5	MP_ERR3712077	pr2-ssu	naive-bayes	[10,10]:0.5	0.1141360040443236	0.1141360040443236	0.1141360040443236	0.35714285714285715	0.45454545454545453
18	fuhrman_18Sv4	6	MP_ERR3712072	pr2-ssu	naive-bayes	[10,10]:0.5	0.032484228217380944	0.032484228217380944	0.032484228217380944	0.09090909090909091	0.1111111111111111
19	fuhrman_18Sv4	6	MP_ERR3712077	pr2-ssu	naive-bayes	[10,10]:0.5	0.08937135361871319	0.08937135361871319	0.08937135361871319	0.1875	0.25
20	fuhrman_18Sv4	2	MP_ERR3712072	pr2-ssu	naive-bayes	[7,7]:0.9	1.0	1.0	1.0	1.0	1.0
21	fuhrman_18Sv4	2	MP_ERR3712077	pr2-ssu	naive-bayes	[7,7]:0.9	1.0	1.0	1.0	1.0	1.0
22	fuhrman_18Sv4	3	MP_ERR3712072	pr2-ssu	naive-bayes	[7,7]:0.9	0.5967315097013709	0.5967315097013709	0.5967315097013709	0.8571428571428571	0.8571428571428571
23	fuhrman_18Sv4	3	MP_ERR3712077	pr2-ssu	naive-bayes	[7,7]:0.9	0.5011272185710968	0.5011272185710968	0.5011272185710968	0.8571428571428571	0.8571428571428571
24	fuhrman_18Sv4	4	MP_ERR3712072	pr2-ssu	naive-bayes	[7,7]:0.9	0.5342589457049328	0.5342589457049328	0.5342589457049328	0.6666666666666666	0.75
25	fuhrman_18Sv4	4	MP_ERR3712077	pr2-ssu	naive-bayes	[7,7]:0.9	0.47129350038940276	0.47129350038940276	0.47129350038940276	0.7	0.7777777777777778
