Taxonomy	MP_ERR3712072	MP_ERR3712077
Eukaryota;Haptophyta;Prymnesiales__c;Prymnesiales;NA;NA;NA	0.40326849	0.498872781
Eukaryota;Dinophyceae__p;Dinophyceae;Syndiniales;NA;NA;NA	0.286212389	0.270682753
Eukaryota;Dinophyceae__p;Dinophyceae;NA;NA;NA;NA	0.076620135	0.035838719
Eukaryota;Bacillariophyta;Coscinodiscophyceae;NA;NA;NA;NA	0.042693557	0.048689011
Eukaryota;Dinophyceae__p;Dinophyceae;Gonyaulacales;Lingulodiniaceae;Lingulodinium;NA	0	0.059694763
Eukaryota;Polycystinea__p;Polycystinea;Spumellaria;Litheliidae;Larcopyle;NA	0.062209178	0.023869707
Eukaryota;Cercozoa;Thecofilosea;Cryomonadida;NA;NA;NA	0.025096888	0.019627266
Eukaryota;Dinophyceae__p;Dinophyceae;Gymnodiniales;Gymnodiniaceae;Gymnodinium;NA	0	0.029594611
Eukaryota;Alveolata;Spirotrichea;Oligotrichida;NA;NA;NA	0.041138328	0.002240774
Eukaryota;Dinophyceae__p;Dinophyceae;Gonyaulacales;Ceratiaceae;Neoceratium;NA	0.032484228	8.19795E-05
Eukaryota;Arthropoda;NA;NA;NA;NA;NA	0.03001342	0.000136633
Eukaryota;Bacillariophyta;Coscinodiscophyceae;;NA;NA;NA	0.000263386	0.005964011
Eukaryota;Ciliophora;Phyllopharyngea;Suctoria;NA;NA;NA	0	0.00289661
Eukaryota;Dinophyceae__p;Dinophyceae;Gymnodiniales;Gyrodiniaceae;Gyrodinium;NA	0	0.001810381
